CookerStat, GenerateAssetRegistry=0.016641, Initialize=0.086784, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_0, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Blueprints/BP_Dude.uasset, AutoPackageBackupDelegate=25.613863, FlushAsyncLoading=0.007935, FlushStreamingFunc=0.125952, BlockTillAllRequestsFinished=0.004608, ResetLoadersForSaveUnMarkAllObjects=0.249088, TagPackageExports=38.447163, BeginCacheForCookedPlatformData=0.004351, SerializeImports=40.094269, GatherLocalizableTextData=30.653231, MarkNames=0.239618, SerializeSummary=0.016641, SerializeNames=0.380673, SerializeGatherableTextData=0.275455, BuildExportMap=0.453632, SortExportsNonSeekfree=8.164365, SortExportsSeekfreeConstructor=0.058625, SortExportsSeekfreeInner=50.597198, SortExportsSeekfree=0.006143, BuildDependencyMap=1.495812, SerializeImportMap=0.036098, SerializeExportMap=0.186112, SerializeDependencyMap=0.038143, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.502025, SerializeExports=57.992279, SerializeBulkData=0.019968, MoveFile=1.133312, UnaccountedTime=1.012739, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_1, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_2.uasset, AutoPackageBackupDelegate=19.541021, FlushAsyncLoading=0.004094, FlushStreamingFunc=0.081923, BlockTillAllRequestsFinished=0.002816, ResetLoadersForSaveUnMarkAllObjects=0.149503, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.339713, GatherLocalizableTextData=0.122368, MarkNames=0.003584, SerializeSummary=0.006657, SerializeNames=0.031233, SerializeGatherableTextData=0.000767, BuildExportMap=0.008959, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.004351, SortExportsSeekfreeInner=0.358656, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003584, SerializeImportMap=0.004094, SerializeExportMap=0.012543, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.520964, SerializeExports=0.325378, SerializeBulkData=0.014082, MoveFile=1.363970, UnaccountedTime=0.772610, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_2, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_21.uasset, AutoPackageBackupDelegate=20.105499, FlushAsyncLoading=0.004608, FlushStreamingFunc=0.081152, BlockTillAllRequestsFinished=0.002563, ResetLoadersForSaveUnMarkAllObjects=0.107519, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000510, SerializeImports=0.457473, GatherLocalizableTextData=0.166144, MarkNames=0.004098, SerializeSummary=0.007425, SerializeNames=0.031743, SerializeGatherableTextData=0.000767, BuildExportMap=0.008959, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004608, SortExportsSeekfreeInner=0.439297, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003841, SerializeImportMap=0.003837, SerializeExportMap=0.003330, SerializeDependencyMap=0.000771, SerializeStringAssetReferenceMap=0.001021, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.564744, SerializeExports=0.190467, SerializeBulkData=0.002816, MoveFile=1.237761, UnaccountedTime=0.711169, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_3, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_3.uasset, AutoPackageBackupDelegate=19.517723, FlushAsyncLoading=0.004608, FlushStreamingFunc=0.086527, BlockTillAllRequestsFinished=0.002563, ResetLoadersForSaveUnMarkAllObjects=0.107262, TagPackageExports=0.023298, BeginCacheForCookedPlatformData=0.009470, SerializeImports=0.526082, GatherLocalizableTextData=0.130560, MarkNames=0.003584, SerializeSummary=0.006657, SerializeNames=0.031486, SerializeGatherableTextData=0.000771, BuildExportMap=0.008702, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.004351, SortExportsSeekfreeInner=0.387330, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003837, SerializeImportMap=0.004094, SerializeExportMap=0.003584, SerializeDependencyMap=0.001024, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.621573, SerializeExports=0.178434, SerializeBulkData=0.003073, MoveFile=1.227267, UnaccountedTime=0.792578, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_4, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_22.uasset, AutoPackageBackupDelegate=19.321121, FlushAsyncLoading=0.004862, FlushStreamingFunc=0.081409, BlockTillAllRequestsFinished=0.004098, ResetLoadersForSaveUnMarkAllObjects=0.105727, TagPackageExports=0.020992, BeginCacheForCookedPlatformData=0.000771, SerializeImports=0.481278, GatherLocalizableTextData=0.124674, MarkNames=0.003584, SerializeSummary=0.016127, SerializeNames=0.033025, SerializeGatherableTextData=0.000767, BuildExportMap=0.008959, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.005119, SortExportsSeekfreeInner=0.378881, SortExportsSeekfree=0.001539, BuildDependencyMap=0.004094, SerializeImportMap=0.003330, SerializeExportMap=0.003327, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.655112, SerializeExports=0.191487, SerializeBulkData=0.002816, MoveFile=1.106176, UnaccountedTime=0.786178, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_5, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_32.uasset, AutoPackageBackupDelegate=19.584797, FlushAsyncLoading=0.004608, FlushStreamingFunc=0.081919, BlockTillAllRequestsFinished=0.012543, ResetLoadersForSaveUnMarkAllObjects=0.116482, TagPackageExports=0.017919, BeginCacheForCookedPlatformData=0.001024, SerializeImports=0.449792, GatherLocalizableTextData=0.122368, MarkNames=0.003073, SerializeSummary=0.006400, SerializeNames=0.031233, SerializeGatherableTextData=0.001024, BuildExportMap=0.008702, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004351, SortExportsSeekfreeInner=0.365570, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003841, SerializeImportMap=0.004094, SerializeExportMap=0.003330, SerializeDependencyMap=0.000771, SerializeStringAssetReferenceMap=0.001278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.112903, SerializeExports=0.247810, SerializeBulkData=0.003327, MoveFile=1.346048, UnaccountedTime=0.871170, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_6, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_4.uasset, AutoPackageBackupDelegate=19.208733, FlushAsyncLoading=0.004094, FlushStreamingFunc=0.081152, BlockTillAllRequestsFinished=0.004098, ResetLoadersForSaveUnMarkAllObjects=0.116222, TagPackageExports=0.020735, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.328705, GatherLocalizableTextData=0.144899, MarkNames=0.003584, SerializeSummary=0.006400, SerializeNames=0.032000, SerializeGatherableTextData=0.000767, BuildExportMap=0.008959, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.005119, SortExportsSeekfreeInner=0.342019, SortExportsSeekfree=0.001792, BuildDependencyMap=0.004094, SerializeImportMap=0.003584, SerializeExportMap=0.003330, SerializeDependencyMap=0.000771, SerializeStringAssetReferenceMap=0.001021, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.101385, SerializeExports=0.196606, SerializeBulkData=0.002816, MoveFile=1.291778, UnaccountedTime=0.946946, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_7, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_42.uasset, AutoPackageBackupDelegate=19.171614, FlushAsyncLoading=0.003841, FlushStreamingFunc=0.047103, BlockTillAllRequestsFinished=0.004098, ResetLoadersForSaveUnMarkAllObjects=0.114944, TagPackageExports=0.011779, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.339199, GatherLocalizableTextData=0.155650, MarkNames=0.003327, SerializeSummary=0.016384, SerializeNames=0.043776, SerializeGatherableTextData=0.001024, BuildExportMap=0.009216, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.004862, SortExportsSeekfreeInner=0.459008, SortExportsSeekfree=0.002049, BuildDependencyMap=0.004351, SerializeImportMap=0.004098, SerializeExportMap=0.003584, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.279047, SerializeExports=0.226304, SerializeBulkData=0.003070, MoveFile=1.126148, UnaccountedTime=0.864513, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_8, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_5.uasset, AutoPackageBackupDelegate=19.563292, FlushAsyncLoading=0.013568, FlushStreamingFunc=0.069376, BlockTillAllRequestsFinished=0.004098, ResetLoadersForSaveUnMarkAllObjects=0.106242, TagPackageExports=0.020992, BeginCacheForCookedPlatformData=0.001021, SerializeImports=0.384770, GatherLocalizableTextData=0.124160, MarkNames=0.003584, SerializeSummary=0.007425, SerializeNames=0.042241, SerializeGatherableTextData=0.001021, BuildExportMap=0.018179, SortExportsNonSeekfree=0.003070, SortExportsSeekfreeConstructor=0.005122, SortExportsSeekfreeInner=0.350207, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003841, SerializeImportMap=0.003584, SerializeExportMap=0.003330, SerializeDependencyMap=0.000771, SerializeStringAssetReferenceMap=0.001021, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.247814, SerializeExports=0.193283, SerializeBulkData=0.003070, MoveFile=1.265664, UnaccountedTime=0.801537, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_9, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_0.uasset, AutoPackageBackupDelegate=19.550495, FlushAsyncLoading=0.004608, FlushStreamingFunc=0.066303, BlockTillAllRequestsFinished=0.004098, ResetLoadersForSaveUnMarkAllObjects=0.129536, TagPackageExports=0.011779, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.325374, GatherLocalizableTextData=0.144128, MarkNames=0.003330, SerializeSummary=0.006400, SerializeNames=0.032254, SerializeGatherableTextData=0.000771, BuildExportMap=0.008445, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.006910, SortExportsSeekfreeInner=0.329219, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003841, SerializeImportMap=0.003584, SerializeExportMap=0.003327, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.562246, SerializeExports=0.185344, SerializeBulkData=0.002559, MoveFile=0.949506, UnaccountedTime=0.684291, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_10, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_1.uasset, AutoPackageBackupDelegate=19.551519, FlushAsyncLoading=0.004608, FlushStreamingFunc=0.081919, BlockTillAllRequestsFinished=0.003330, ResetLoadersForSaveUnMarkAllObjects=0.104960, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.348419, GatherLocalizableTextData=0.120830, MarkNames=0.004608, SerializeSummary=0.008706, SerializeNames=0.048894, SerializeGatherableTextData=0.001024, BuildExportMap=0.013568, SortExportsNonSeekfree=0.004351, SortExportsSeekfreeConstructor=0.007682, SortExportsSeekfreeInner=0.399359, SortExportsSeekfree=0.002049, BuildDependencyMap=0.003584, SerializeImportMap=0.003841, SerializeExportMap=0.003073, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.224067, SerializeExports=0.203010, SerializeBulkData=0.003070, MoveFile=0.939008, UnaccountedTime=0.716288, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
